Req_ID,Title,Description,Type,ASIL,Priority,Module_Hint,Status,Notes
ARCH-REQ-001,Component: System,"The architecture shall implement a closed-loop motor control chain from speed reference to voltage command using speed control, current control, and motor monitoring components.",functional,ASIL-B,must,System,approved,Top-level flow: read inputs -> monitor limits -> speed PI -> current PI -> voltage outputs; Level=Architecture; Subsystem=PMSM FOC Control; InputInterfaces=SpdRef; SpdFbk; IdFbk; IqFbk; VdcBus; MtrT; OutputInterfaces=VdCmd; VqCmd; MtrProtSt; OcSt; OtSt; TimingOrTrigger=Cyclic control and monitoring; VerificationMethod=Review; MIL/SIL test; integration test; MUD_Flowchart_Derivation_Hint=Top-level flow: read inputs -> monitor limits -> speed PI -> current PI -> voltage outputs
ARCH-REQ-002,Component: System,The architecture shall route SpdCtrl IqRef output to CurrCtrl IqRef input without scaling loss.,interface,ASIL-B,must,System,approved,Create connector check between SpdCtrl and CurrCtrl; Level=Architecture; Subsystem=PMSM FOC Control; InputInterfaces=IqRef from SpdCtrl; OutputInterfaces=IqRef to CurrCtrl; TimingOrTrigger=Every speed control update and consumed by current control; VerificationMethod=Interface review; integration test; MUD_Flowchart_Derivation_Hint=Create connector check between SpdCtrl and CurrCtrl
ARCH-REQ-003,Component: System,The architecture shall route MtrMon IqMaxOut output to SpdCtrl IqMaxIn input to limit commanded q-axis current during warning or fault conditions.,interface,ASIL-B,must,System,approved,Decision block: if protection active then reduce or block IqRef; Level=Architecture; Subsystem=PMSM FOC Control; InputInterfaces=IqMaxOut; OutputInterfaces=IqMaxIn; TimingOrTrigger=Updated by MtrMon and consumed by SpdCtrl; VerificationMethod=Interface review; fault injection test; MUD_Flowchart_Derivation_Hint=Decision block: if protection active then reduce or block IqRef
ARCH-REQ-004,Component: System,The architecture shall schedule CurrCtrl faster than SpdCtrl because the inner current loop shall react before the outer speed loop changes IqRef.,timing,ASIL-B,must,System,approved,Timing note: current loop is inner loop; Level=Architecture; Subsystem=PMSM FOC Control; TimingOrTrigger=CurrCtrl 100 us; SpdCtrl 1 ms; VerificationMethod=Scheduler review; timing trace; MUD_Flowchart_Derivation_Hint=Timing note: current loop is inner loop
ARCH-REQ-005,Component: System,The architecture shall schedule fast electrical protection monitoring at 1 ms and thermal monitoring at 10 ms.,timing,ASIL-B,must,System,approved,Separate fast protection path and slow thermal path; Level=Architecture; Subsystem=PMSM FOC Control; InputInterfaces=IdMon; IqMon; VdcMon; SpdMon; MtrT; OutputInterfaces=OcSt; OtSt; MtrProtSt; IqMaxOut; TimingOrTrigger=MtrMon_1ms and MtrMon_10ms; VerificationMethod=Scheduler review; timing test; MUD_Flowchart_Derivation_Hint=Separate fast protection path and slow thermal path
ARCH-REQ-006,Component: System,"The architecture shall force torque-producing current request to a safe limited value when overcurrent, overtemperature, DC-link fault, or overspeed protection is active.",safety,ASIL-B,must,System,approved,Decision: fault active? yes -> IqMax=0 or derated; no -> nominal limit; Level=Architecture; Subsystem=PMSM FOC Control; InputInterfaces=OcSt; OtSt; VdcMon; SpdMon; OutputInterfaces=IqMaxOut; MtrProtSt; IqRef; TimingOrTrigger=Cyclic monitoring; VerificationMethod=Fault injection test; HIL test; MUD_Flowchart_Derivation_Hint=Decision: fault active? yes -> IqMax=0 or derated; no -> nominal limit
ARCH-REQ-007,Component: System,The architecture shall provide explicit motor protection status to the system manager and fault manager.,safety,ASIL-B,must,System,approved,Decision hierarchy for highest active fault code; Level=Architecture; Subsystem=PMSM FOC Control; InputInterfaces=Protection conditions; OutputInterfaces=MtrProtSt; OcSt; OtSt; TimingOrTrigger=1 ms / 10 ms; VerificationMethod=Interface review; integration test; MUD_Flowchart_Derivation_Hint=Decision hierarchy for highest active fault code
ARCH-REQ-008,Component: System,The architecture shall initialize all controller internal states before enabling cyclic control runnables.,functional,ASIL-B,must,System,approved,Start -> initialize states -> set safe outputs -> end; Level=Architecture; Subsystem=PMSM FOC Control; OutputInterfaces=IqRef; VdCmd; VqCmd; IqMaxOut; status outputs; TimingOrTrigger=ECU startup; VerificationMethod=Startup test; code review; MUD_Flowchart_Derivation_Hint=Start -> initialize states -> set safe outputs -> end
ARCH-REQ-009,Component: System,The architecture shall reset or freeze controller integrators during non-run operation modes to avoid unintended torque after mode transition.,functional,ASIL-B,must,System,approved,Decision: OpMod==Run? no -> reset/freeze integrator; Level=Architecture; Subsystem=PMSM FOC Control; InputInterfaces=OpMod; OutputInterfaces=IqRef; integrator states; TimingOrTrigger=On mode transition; VerificationMethod=Mode transition test; MUD_Flowchart_Derivation_Hint=Decision: OpMod==Run? no -> reset/freeze integrator
ARCH-REQ-010,Component: System,"The architecture shall use typed sender-receiver interfaces with defined units, ranges, and computation methods for all cross-component signals.",constraint,ASIL-B,must,System,approved,Precondition block: validate/scaling for each input; Level=Architecture; Subsystem=PMSM FOC Control; InputInterfaces=All R-Ports; OutputInterfaces=All P-Ports; TimingOrTrigger=All accesses; VerificationMethod=Interface review; static analysis; MUD_Flowchart_Derivation_Hint=Precondition block: validate/scaling for each input
ARCH-REQ-011,Component: System,The architecture shall protect shared controller and monitor internal states using exclusive areas where states may be accessed by more than one runnable or event.,functional,ASIL-B,must,System,approved,Enter exclusive area -> update state -> exit exclusive area; Level=Architecture; Subsystem=PMSM FOC Control; InputInterfaces=IRVs; OutputInterfaces=IRVs; TimingOrTrigger=During state read/write; VerificationMethod=Code review; concurrency test; MUD_Flowchart_Derivation_Hint=Enter exclusive area -> update state -> exit exclusive area
ARCH-REQ-012,Component: System,The architecture shall avoid dynamic memory allocation inside cyclic control and protection runnables.,functional,ASIL-B,must,System,approved,Implementation constraint note; Level=Architecture; Subsystem=PMSM FOC Control; TimingOrTrigger=All cyclic runnables; VerificationMethod=Code review; static analysis; MUD_Flowchart_Derivation_Hint=Implementation constraint note
ARCH-REQ-020,Component: SpdCtrl,"SpdCtrl shall convert speed error into q-axis current reference using a PI control algorithm with ramping, deadband, saturation, and anti-windup.",functional,ASIL-B,must,SpdCtrl,approved,Read speed -> ramp ref -> error -> deadband -> PI -> saturate -> anti-windup -> write IqRef; Level=Architecture; Subsystem=Speed Control; InputInterfaces=SpdRef; SpdFbk; IqMaxIn; OutputInterfaces=IqRef; TimingOrTrigger=1 ms; VerificationMethod=Unit test; MIL test; MUD_Flowchart_Derivation_Hint=Read speed -> ramp ref -> error -> deadband -> PI -> saturate -> anti-windup -> write IqRef
ARCH-REQ-021,Component: SpdCtrl,SpdCtrl shall read actual motor speed from SpeedObserver and speed reference from AppMgr through explicit RTE sender-receiver ports.,interface,ASIL-B,must,SpdCtrl,approved,Input block for SpdFbk and SpdRef; Level=Architecture; Subsystem=Speed Control; InputInterfaces=SpdFbk; SpdRef; TimingOrTrigger=1 ms; VerificationMethod=Interface review; unit test; MUD_Flowchart_Derivation_Hint=Input block for SpdFbk and SpdRef
ARCH-REQ-022,Component: SpdCtrl,SpdCtrl shall limit IqRef to the lower of configured controller output limit and IqMaxIn from MtrMon.,safety,ASIL-B,must,SpdCtrl,approved,"Saturation block using min(controller limit, IqMaxIn); Level=Architecture; Subsystem=Speed Control; InputInterfaces=IqMaxIn; OutputInterfaces=IqRef; TimingOrTrigger=1 ms; VerificationMethod=Fault injection test; boundary test; MUD_Flowchart_Derivation_Hint=Saturation block using min(controller limit, IqMaxIn)"
ARCH-REQ-023,Component: SpdCtrl,SpdCtrl shall initialize speed PI integrator to zero and initialize ramped speed reference with current feedback speed to avoid startup torque step.,functional,ASIL-B,must,SpdCtrl,approved,Startup flow for state initialization; Level=Architecture; Subsystem=Speed Control; InputInterfaces=SpdFbk; OutputInterfaces=SpdCtrlIntgState; SpdRefRamped; TimingOrTrigger=Startup; VerificationMethod=Startup unit test; MUD_Flowchart_Derivation_Hint=Startup flow for state initialization
ARCH-REQ-024,Component: SpdCtrl,SpdCtrl shall set IqRef to zero and reset the integrator when operation mode leaves Run.,functional,ASIL-B,must,SpdCtrl,approved,Decision: OpMod != Run -> reset state and output zero; Level=Architecture; Subsystem=Speed Control; InputInterfaces=OpMod; OutputInterfaces=IqRef; SpdCtrlIntgState; TimingOrTrigger=ModeSwitchEvent; VerificationMethod=Mode transition test; MUD_Flowchart_Derivation_Hint=Decision: OpMod != Run -> reset state and output zero
ARCH-REQ-025,Component: SpdCtrl,"SpdCtrl shall expose speed controller gains, speed error dead zone, ramp rate, and anti-windup limit as calibration parameters.",constraint,ASIL-B,must,SpdCtrl,approved,Calibration parameter table for MUD; Level=Architecture; Subsystem=Speed Control; InputInterfaces=Kp; Ki; SpdErrDz; SpdRampRate; AntiWindupLim; TimingOrTrigger=Calibration access; VerificationMethod=Calibration review; A2L/XCP check; MUD_Flowchart_Derivation_Hint=Calibration parameter table for MUD
ARCH-REQ-030,Component: CurrCtrl,"CurrCtrl shall convert d-axis and q-axis current errors into d-axis and q-axis voltage commands using PI control, decoupling feedforward, and voltage limiting.",functional,ASIL-B,must,CurrCtrl,approved,Read currents -> errors -> PI d/q -> decoupling -> voltage limit -> write Vd/Vq; Level=Architecture; Subsystem=Current Control; InputInterfaces=IdRef; IqRef; IdFbk; IqFbk; VdcBus; OutputInterfaces=VdCmd; VqCmd; TimingOrTrigger=100 us; VerificationMethod=Unit test; MIL test; MUD_Flowchart_Derivation_Hint=Read currents -> errors -> PI d/q -> decoupling -> voltage limit -> write Vd/Vq
ARCH-REQ-031,Component: CurrCtrl,CurrCtrl shall consume IqRef from SpdCtrl and IdRef from MTPA or zero-reference source.,interface,ASIL-B,must,CurrCtrl,approved,Input merge block for IdRef/IqRef; Level=Architecture; Subsystem=Current Control; InputInterfaces=IqRef; IdRef; TimingOrTrigger=100 us; VerificationMethod=Interface review; integration test; MUD_Flowchart_Derivation_Hint=Input merge block for IdRef/IqRef
ARCH-REQ-032,Component: CurrCtrl,CurrCtrl shall output voltage commands to SVM/PWM using signed voltage command interfaces with defined scaling.,interface,ASIL-B,must,CurrCtrl,approved,Output block to PWM/SVM; Level=Architecture; Subsystem=Current Control; OutputInterfaces=VdCmd; VqCmd; TimingOrTrigger=100 us; VerificationMethod=Interface review; integration test; MUD_Flowchart_Derivation_Hint=Output block to PWM/SVM
ARCH-REQ-033,Component: CurrCtrl,CurrCtrl shall limit the voltage vector magnitude according to DC bus voltage and configured voltage limit before publishing voltage commands.,safety,ASIL-B,must,CurrCtrl,approved,Decision: voltage magnitude > limit? yes -> scale Vd/Vq; Level=Architecture; Subsystem=Current Control; InputInterfaces=VdcBus; VoltLim; OutputInterfaces=VdCmd; VqCmd; TimingOrTrigger=100 us; VerificationMethod=Boundary test; HIL test; MUD_Flowchart_Derivation_Hint=Decision: voltage magnitude > limit? yes -> scale Vd/Vq
ARCH-REQ-034,Component: CurrCtrl,CurrCtrl shall initialize d-axis and q-axis PI integrator states to zero and publish safe zero voltage commands at startup.,functional,ASIL-B,must,CurrCtrl,approved,Startup safe output block; Level=Architecture; Subsystem=Current Control; InputInterfaces=IdFbk; IqFbk; IdRef; IqRef; VdcBus; OutputInterfaces=VdCmd; VqCmd; IdIntgState; IqIntgState; TimingOrTrigger=Startup; VerificationMethod=Startup unit test; MUD_Flowchart_Derivation_Hint=Startup safe output block
ARCH-REQ-035,Component: CurrCtrl,CurrCtrl shall complete execution within its 100 us period budget and shall not exceed the allocated timing budget.,timing,ASIL-B,must,CurrCtrl,approved,"No blocking calls, no dynamic memory, fixed computation path; Level=Architecture; Subsystem=Current Control; TimingOrTrigger=100 us period; <30 us budget; VerificationMethod=Trace/profiler timing test; WCET review; MUD_Flowchart_Derivation_Hint=No blocking calls, no dynamic memory, fixed computation path"
ARCH-REQ-036,Component: CurrCtrl,"CurrCtrl shall expose d/q PI gains, electrical parameters, nominal DC voltage, and voltage limit as calibration parameters.",constraint,ASIL-B,must,CurrCtrl,approved,Calibration parameter table for MUD; Level=Architecture; Subsystem=Current Control; InputInterfaces=KpId; KiId; KpIq; KiIq; Ld; Lq; Rs; VdcNom; VoltLim; TimingOrTrigger=Calibration access; VerificationMethod=Calibration review; A2L/XCP check; MUD_Flowchart_Derivation_Hint=Calibration parameter table for MUD
ARCH-REQ-040,Component: MtrMon,"MtrMon shall monitor phase-current-derived Id/Iq, DC bus voltage, speed, and motor temperature to determine motor protection status.",functional,ASIL-B,must,MtrMon,approved,Monitor flow with separate electrical and thermal branches; Level=Architecture; Subsystem=Motor Monitoring; InputInterfaces=IdMon; IqMon; VdcMon; SpdMon; MtrT; OutputInterfaces=MtrProtSt; OcSt; OtSt; IqMaxOut; TimingOrTrigger=1 ms / 10 ms; VerificationMethod=Unit test; MIL/SIL test; MUD_Flowchart_Derivation_Hint=Monitor flow with separate electrical and thermal branches
ARCH-REQ-041,Component: MtrMon,MtrMon shall detect overcurrent using the d/q current vector magnitude compared against calibrated overcurrent threshold.,safety,ASIL-B,must,MtrMon,approved,Decision: Id^2 + Iq^2 > IOcThd^2; Level=Architecture; Subsystem=Motor Monitoring; InputInterfaces=IdMon; IqMon; IOcThd; OutputInterfaces=OcSt; MtrProtSt; TimingOrTrigger=1 ms; VerificationMethod=Fault injection test; boundary test; MUD_Flowchart_Derivation_Hint=Decision: Id^2 + Iq^2 > IOcThd^2
