Req_ID,Title,Description,Type,ASIL,Priority,Module_Hint,Status,Notes
SIGDICT-001,Signal Name: SpdFbk,Actual motor mechanical speed from encoder-based observer,interface,ASIL-B,must,SpeedObserver,approved,"OriginalID=08_SIGNALDICT-001; Shared interface SpdN1; Signal Name=SpdFbk; Interface Used=SpdN1; Data Element=Val; Impl.Type=uint16; Unit=rpm; Physical Range=0–15000 rpm; Provider SWC=SpeedObserver; Provider Port=SpdOut; Consumer SWC(s)=SpdCtrl, MtrMon; Consumer Port(s)=SpdFbk / SpdMon; Update Rate=1 ms"
SIGDICT-002,Signal Name: SpdRef,Speed command from application state machine,interface,ASIL-B,must,AppMgr,approved,OriginalID=08_SIGNALDICT-002; Rate-limited inside SpdCtrl; Signal Name=SpdRef; Interface Used=SpdN1; Data Element=Val; Impl.Type=uint16; Unit=rpm; Physical Range=0–12000 rpm; Provider SWC=AppMgr; Provider Port=SpdCmdOut; Consumer SWC(s)=SpdCtrl; Consumer Port(s)=SpdRef; Update Rate=10 ms
SIGDICT-003,Signal Name: IqRef,q-axis current reference — output of speed PI controller,interface,ASIL-B,must,SpdCtrl,approved,OriginalID=08_SIGNALDICT-003; Key inter-loop signal; Signal Name=IqRef; Interface Used=MtrIq1; Data Element=Val; Impl.Type=float32; Unit=A; Physical Range=−160 to +160 A; Provider SWC=SpdCtrl; Provider Port=IqRef; Consumer SWC(s)=CurrCtrl; Consumer Port(s)=IqRef; Update Rate=1 ms
SIGDICT-004,Signal Name: IdFbk,d-axis current feedback from ADC + Clarke-Park,interface,ASIL-B,must,CurrentSens,approved,"OriginalID=08_SIGNALDICT-004; Shared interface MtrId1; Signal Name=IdFbk; Interface Used=MtrId1; Data Element=Val; Impl.Type=sint16; Unit=A×100; Physical Range=−160 to +160 A; Provider SWC=CurrentSens; Provider Port=IdOut; Consumer SWC(s)=CurrCtrl, MtrMon; Consumer Port(s)=IdFbk / IdMon; Update Rate=100 µs"
SIGDICT-005,Signal Name: IqFbk,q-axis current feedback from ADC + Clarke-Park,interface,ASIL-B,must,CurrentSens,approved,"OriginalID=08_SIGNALDICT-005; Shared interface MtrIq1; Signal Name=IqFbk; Interface Used=MtrIq1; Data Element=Val; Impl.Type=sint16; Unit=A×100; Physical Range=−160 to +160 A; Provider SWC=CurrentSens; Provider Port=IqOut; Consumer SWC(s)=CurrCtrl, MtrMon; Consumer Port(s)=IqFbk / IqMon; Update Rate=100 µs"
SIGDICT-006,Signal Name: IdRef,d-axis current reference (0 for SPMSM; MTPA-computed for IPMSM),interface,ASIL-B,must,MTPA / Const,approved,OriginalID=08_SIGNALDICT-006; Constant 0 in basic config; Signal Name=IdRef; Interface Used=MtrId1; Data Element=Val; Impl.Type=sint16; Unit=A×100; Physical Range=−50 to +50 A; Provider SWC=MTPA / Const; Provider Port=IdRefOut; Consumer SWC(s)=CurrCtrl; Consumer Port(s)=IdRef; Update Rate=1 ms
SIGDICT-007,Signal Name: VdcBus,DC bus voltage measurement,interface,ASIL-B,must,VdcMeas,approved,"OriginalID=08_SIGNALDICT-007; Shared interface VdcBus1; Signal Name=VdcBus; Interface Used=VdcBus1; Data Element=Val; Impl.Type=uint16; Unit=V×10; Physical Range=0–800 V; Provider SWC=VdcMeas; Provider Port=VdcOut; Consumer SWC(s)=CurrCtrl, MtrMon; Consumer Port(s)=VdcBus / VdcMon; Update Rate=1 ms"
SIGDICT-008,Signal Name: VdCmd,d-axis voltage command to space-vector modulator,interface,ASIL-B,must,CurrCtrl,approved,OriginalID=08_SIGNALDICT-008; Signal Name=VdCmd; Interface Used=MtrVd1; Data Element=Val; Impl.Type=sint16; Unit=V×100; Physical Range=−400 to +400 V; Provider SWC=CurrCtrl; Provider Port=VdCmd; Consumer SWC(s)=SVM/PWM; Consumer Port(s)=VdIn; Update Rate=100 µs
SIGDICT-009,Signal Name: VqCmd,q-axis voltage command to space-vector modulator,interface,ASIL-B,must,CurrCtrl,approved,OriginalID=08_SIGNALDICT-009; Signal Name=VqCmd; Interface Used=MtrVq1; Data Element=Val; Impl.Type=sint16; Unit=V×100; Physical Range=−400 to +400 V; Provider SWC=CurrCtrl; Provider Port=VqCmd; Consumer SWC(s)=SVM/PWM; Consumer Port(s)=VqIn; Update Rate=100 µs
SIGDICT-010,Signal Name: MtrT,Motor winding temperature from NTC,interface,ASIL-B,must,TempSens,approved,OriginalID=08_SIGNALDICT-010; Slow thermal time constant; Signal Name=MtrT; Interface Used=MtrT1; Data Element=Val; Impl.Type=sint16; Unit=°C; Physical Range=−40 to +200 °C; Provider SWC=TempSens; Provider Port=MtrTOut; Consumer SWC(s)=MtrMon; Consumer Port(s)=MtrT; Update Rate=10 ms
SIGDICT-011,Signal Name: IqMaxOut,Protection-derived Iq limit — derated by temperature; 0 on fault,interface,ASIL-B,must,MtrMon,approved,OriginalID=08_SIGNALDICT-011; Key protection feedback; Signal Name=IqMaxOut; Interface Used=MtrIqMax1; Data Element=Val; Impl.Type=float32; Unit=A; Physical Range=0–160 A; Provider SWC=MtrMon; Provider Port=IqMaxOut; Consumer SWC(s)=SpdCtrl; Consumer Port(s)=IqMaxIn; Update Rate=10 ms
SIGDICT-012,Signal Name: MtrProtSt,Aggregated motor protection status code,interface,ASIL-B,must,MtrMon,approved,"OriginalID=08_SIGNALDICT-012; 0=OK; higher=more severe; Signal Name=MtrProtSt; Interface Used=MtrProtSt1; Data Element=St; Impl.Type=uint8; Unit=—; Physical Range=0–7 (enum); Provider SWC=MtrMon; Provider Port=MtrProtSt; Consumer SWC(s)=SysMgr, FaultMgr; Consumer Port(s)=MtrProtIn; Update Rate=1 ms"
SIGDICT-013,Signal Name: OcSt,Overcurrent active flag,interface,ASIL-B,must,MtrMon,approved,OriginalID=08_SIGNALDICT-013; Also triggers inverter shutdown via HW path; Signal Name=OcSt; Interface Used=MtrOcSt1; Data Element=St; Impl.Type=boolean; Unit=—; Physical Range=FALSE/TRUE; Provider SWC=MtrMon; Provider Port=OcSt; Consumer SWC(s)=SafetyMon; Consumer Port(s)=OcIn; Update Rate=1 ms
SIGDICT-014,Signal Name: OtSt,Overtemperature active flag (with hysteresis),interface,ASIL-B,must,MtrMon,approved,OriginalID=08_SIGNALDICT-014; Signal Name=OtSt; Interface Used=MtrOtSt1; Data Element=St; Impl.Type=boolean; Unit=—; Physical Range=FALSE/TRUE; Provider SWC=MtrMon; Provider Port=OtSt; Consumer SWC(s)=SafetyMon; Consumer Port(s)=OtIn; Update Rate=10 ms
