Req_ID,Title,Description,Type,ASIL,Priority,Module_Hint,Status,Notes
MON-PORT-001,Port: IdMon,d-axis current for overcurrent monitoring (same interface as CurrCtrl),interface,ASIL-B,must,,approved,Port ShortName=IdMon; Direction=R-Port; Interface ShortName=MtrId1; Interface Type=SenderReceiverInterface; Data Element=Val; Impl. Type=sint16; Phys. Unit=A×100; Resolution=0.01 A/LSB; Min Value=-16000; Max Value=16000; CompuMethod=MtrIdLnrl; Comm. Mode=Explicit; Connected To=CurrentSens SWC (P-Port IdOut)
MON-PORT-002,Port: IqMon,q-axis current for overcurrent monitoring,interface,ASIL-B,must,,approved,Port ShortName=IqMon; Direction=R-Port; Interface ShortName=MtrIq1; Interface Type=SenderReceiverInterface; Data Element=Val; Impl. Type=sint16; Phys. Unit=A×100; Resolution=0.01 A/LSB; Min Value=-16000; Max Value=16000; CompuMethod=MtrIqLnrl; Comm. Mode=Explicit; Connected To=CurrentSens SWC (P-Port IqOut)
MON-PORT-003,Port: MtrT,Motor winding temperature from NTC sensor,interface,ASIL-B,must,,approved,Port ShortName=MtrT; Direction=R-Port; Interface ShortName=MtrT1; Interface Type=SenderReceiverInterface; Data Element=Val; Impl. Type=sint16; Phys. Unit=°C; Resolution=1°C/LSB; Min Value=-40; Max Value=200; CompuMethod=MtrTIdentcl; Comm. Mode=Explicit; Connected To=TempSens SWC (P-Port MtrTOut)
MON-PORT-004,Port: VdcMon,DC bus voltage for over/undervoltage monitoring,interface,ASIL-B,must,,approved,Port ShortName=VdcMon; Direction=R-Port; Interface ShortName=VdcBus1; Interface Type=SenderReceiverInterface; Data Element=Val; Impl. Type=uint16; Phys. Unit=V×10; Resolution=0.1 V/LSB; Min Value=0; Max Value=8000; CompuMethod=VdcLnrl; Comm. Mode=Explicit; Connected To=VdcMeas SWC (P-Port VdcOut)
MON-PORT-005,Port: SpdMon,Actual speed for overspeed protection,interface,ASIL-B,must,,approved,Port ShortName=SpdMon; Direction=R-Port; Interface ShortName=SpdN1; Interface Type=SenderReceiverInterface; Data Element=Val; Impl. Type=uint16; Phys. Unit=rpm; Resolution=1 rpm/LSB; Min Value=0; Max Value=15000; CompuMethod=SpdNIdentcl; Comm. Mode=Explicit; Connected To=SpeedObserver SWC (P-Port SpdOut)
MON-PORT-006,Port: IqMaxOut,"Maximum allowed Iq — derated by temperature, set to 0 on OC/OT fault",interface,ASIL-B,must,,approved,Port ShortName=IqMaxOut; Direction=P-Port; Interface ShortName=MtrIqMax1; Interface Type=SenderReceiverInterface; Data Element=Val; Impl. Type=float32; Phys. Unit=A; Resolution=0.001 A; Min Value=0.0; Max Value=160.0; CompuMethod=ALnrl; Comm. Mode=Explicit; Connected To=SpdCtrl (R-Port IqMaxIn)
MON-PORT-007,Port: MtrProtSt,Aggregated motor protection status — highest active fault code,interface,ASIL-B,must,,approved,Port ShortName=MtrProtSt; Direction=P-Port; Interface ShortName=MtrProtSt1; Interface Type=SenderReceiverInterface; Data Element=St; Impl. Type=uint8; Phys. Unit=—; Resolution=—; Min Value=0; Max Value=7; CompuMethod=MtrProtSt1 (TEXTTABLE: 0=OK 1=OC_Warn 2=OT_Warn 3=OC_Fault 4=OT_Fault 5=OV_Fault 6=UV_Fault 7=OS_Fault); Comm. Mode=Explicit; Connected To=SysMgr SWC (R-Port MtrProtIn)
MON-PORT-008,Port: OcSt,TRUE = overcurrent condition active (|Idq|² > IOcThd²),interface,ASIL-B,must,,approved,"Port ShortName=OcSt; Direction=P-Port; Interface ShortName=MtrOcSt1; Interface Type=SenderReceiverInterface; Data Element=St; Impl. Type=boolean; Phys. Unit=—; Resolution=—; Min Value=FALSE; Max Value=TRUE; CompuMethod=MtrOcSt1 (TEXTTABLE); Comm. Mode=Explicit; Connected To=SafetyMon SWC (R-Port OcIn), FaultMgr"
MON-PORT-009,Port: OtSt,TRUE = overtemperature condition active (with hysteresis),interface,ASIL-B,must,,approved,"Port ShortName=OtSt; Direction=P-Port; Interface ShortName=MtrOtSt1; Interface Type=SenderReceiverInterface; Data Element=St; Impl. Type=boolean; Phys. Unit=—; Resolution=—; Min Value=FALSE; Max Value=TRUE; CompuMethod=MtrOtSt1 (TEXTTABLE); Comm. Mode=Explicit; Connected To=SafetyMon SWC (R-Port OtIn), FaultMgr"
MON-RUN-001,Runnable: MtrMon_Init,"Set OcSt=FALSE, OtSt=FALSE, MtrProtSt=OK, IqMaxOut=IqMaxNom, init state IRVs",interface,ASIL-B,must,,approved,"Runnable ShortName=MtrMon_Init; RTE Event=InitEvent; Cycle / Condition=Once; Ports Read=IdMon, IqMon, MtrT, VdcMon; Ports Written=IqMaxOut, MtrProtSt, OcSt, OtSt; CalPrm Used=All MtrMon CalPrm; IRV Read=—; IRV Written=OcState, OtState; ExclusiveArea=—; Init Required=Yes; Return Type=void; Timing Budget=<50 µs"
