Req_ID,Title,Description,Type,ASIL,Priority,Module_Hint,Status,Notes
REQ-BMS-001,BMS SWC Architecture,"SWC_BatteryManagement shall be implemented as an AUTOSAR ApplicationSWC containing all battery state estimation, cell balancing, thermal management, and contactor control logic for the high-voltage traction battery pack.",functional,ASIL-D,MUST,SWC_BatteryManagement,approved,"Single SWC owns all BMS application logic; MCU runs at 12V, battery pack at 400V; req_type=FUNCTIONAL"
REQ-BMS-002,SOC Estimation Runnable,"RE_EstimateSOC shall execute cyclically every 10 ms to compute the battery State-of-Charge using an extended Kalman filter. It shall call EKF_Predict(), EKF_Update(), and SOC_Clamp() helper functions and write the result to PP_SOCPercent.",timing,ASIL-D,MUST,SWC_BatteryManagement,approved,10 ms = 100 Hz; EKF runs two stages per cycle; req_type=TIMING
REQ-BMS-003,Cell Balancing Runnable,"RE_BalanceCells shall execute cyclically every 100 ms to compare individual cell voltages and activate passive bleed resistors on cells above the mean. It shall call CalcCellDelta(), SelectBalanceCells(), and SetBalanceRelays().",timing,ASIL-B,MUST,SWC_BatteryManagement,approved,100 ms cycle; passive balancing only — no active topology; req_type=TIMING
REQ-BMS-004,Thermal Management Runnable,"RE_ManageThermal shall execute cyclically every 50 ms to compute battery temperature gradient, control the cooling pump PWM duty cycle, and apply power derating when thermal limits are approached. Calls CalcTempGradient() and SetCoolingPWM().",timing,ASIL-C,MUST,SWC_BatteryManagement,approved,50 ms balances thermal inertia vs. response time; req_type=TIMING
REQ-BMS-005,Safety Monitor Runnable,"RE_MonitorSafety shall execute cyclically every 5 ms to perform overcurrent, overvoltage, undervoltage, and overtemperature plausibility checks. On any fault it shall call OpenContactors() and set the corresponding DTC within the same 5 ms execution.",timing,ASIL-D,MUST,SWC_BatteryManagement,approved,5 ms = fastest cycle; safety actions must complete within one cycle; req_type=TIMING
REQ-BMS-006,Contactor Control Runnable,RE_ControlContactors shall execute on DataReceivedEvent of VehicleReadyStatus to manage precharge and main contactor sequence (OPEN → PRECHARGE → MAIN_CLOSE) and call VerifyContactorState() after each transition.,functional,ASIL-D,MUST,SWC_BatteryManagement,approved,Event-driven; contactor sequence is safety-critical; req_type=FUNCTIONAL
REQ-BMS-007,Initialization Runnable,"RE_Initialize shall execute once on ECU startup to read last known SOC from NVM via NvM_ReadBlock(NvM_BMS_SOCLog), perform cell voltage scan, validate sensor signals, and set SWC state to INIT. RAM CRC and ROM CRC-32 self-tests shall complete before any other runnable is allowed to execute.",functional,ASIL-D,MUST,SWC_BatteryManagement,approved,NvM block ID: NvM_BMS_SOCLog; NvM_BMS_FaultLog; req_type=FUNCTIONAL
REQ-BMS-010,Required Ports,"SWC shall declare: RP_PackCurrent (SR IF_SR_Current, range ±500 A, res 0.1 A, 10 ms cycle via CAN ID 0x610), RP_CellVoltages (SR IF_SR_CellArray, 96 cells × float32, 100 ms), RP_CellTemperatures (SR IF_SR_TempArray, 32 NTC sensors × float32, 50 ms), RP_VehicleReadyStatus (SR IF_SR_VehicleReady, boolean, event-driven), RP_AmbientTemperature (SR IF_SR_Temperature, float32, 1 s).",interface,ASIL-D,MUST,SWC_BatteryManagement,approved,All R-Ports follow AUTOSAR RP_ naming convention; req_type=INTERFACE
REQ-BMS-011,Provided Ports,"SWC shall declare: PP_SOCPercent (SR IF_SR_SOC, range 0.0–100.0 %, res 0.01 %, 10 ms), PP_SOHPercent (SR IF_SR_SOH, range 0.0–100.0 %, res 0.1 %, 1 s), PP_PackPowerLimit (SR IF_SR_PowerLimits, struct {f32ChargeLimitW, f32DischargeLimitW}, 50 ms), PP_BMSStatus (SR IF_SR_BMSStatus, struct {u8Mode, u8ActiveDTCs, u8BalancingActive}, 10 ms), PP_ContactorState (SR IF_SR_Contactor, enum {OPEN, PRECHARGE, CLOSED}, event-driven).",interface,ASIL-D,MUST,SWC_BatteryManagement,approved,All P-Ports follow AUTOSAR PP_ naming convention; req_type=INTERFACE
REQ-BMS-020,EKF State Prediction,"EKF_Predict() shall propagate the state vector [SOC, V_RC1, V_RC2] forward using the equivalent circuit model: SOC(k+1) = SOC(k) - (I_pack * DT) / Q_nom, V_RC1(k+1) = V_RC1(k) * exp(-DT / tau1) + I_pack * R1 * (1 - exp(-DT / tau1)), V_RC2(k+1) = V_RC2(k) * exp(-DT / tau2) + I_pack * R2 * (1 - exp(-DT / tau2)). DT = 0.01 s, Q_nom from calibration, tau1/tau2/R1/R2 from OCV-SOC lookup.",functional,ASIL-D,MUST,SWC_BatteryManagement,approved,"ECM = 2nd-order RC equivalent circuit model; tau1=30s, tau2=300s typical; req_type=FUNCTIONAL"
