req_id,title,description,req_type,safety_level,priority,module_hint,notes
REQ-EPS-001,EPS SWC Architecture,"SWC_ElectricPowerSteering shall be implemented as an AUTOSAR ApplicationSwComponentType allocated to the EPS application partition on ECU_EPS_Main. The SWC shall own the runnables RE_Initialize (startup event), RE_ControlTorque (5 ms timing event), RE_MonitorSafety (10 ms timing event), RE_HandleModeChange (DataReceivedEvent on RP_IgnitionStatus), and RE_DiagnosticUpdate (diagnostic event). The SWC shall read VehicleSpeed, IgnitionStatus, YawRate, TorqueSensorPrimary, TorqueSensorSecondary, and MotorTemperature through required ports RP_VehicleSpeed, RP_IgnitionStatus, RP_YawRate, RP_TorqueSensorPrimary, RP_TorqueSensorSecondary, and RP_MotorTemperature. The SWC shall publish MotorCurrentDemand, EPSStatus, and AssistLevel through provided ports PP_MotorCurrentDemand, PP_EPSStatus, and PP_AssistLevel. During ACTIVE mode the architecture shall execute torque calculation every 5 ms and safety supervision every 10 ms; during FAIL_SAFE mode it shall clamp MotorCurrentDemand to 14 A maximum (20 percent of 70 A rated current) and report the active DTC through DEM within one 10 ms monitoring cycle.",FUNCTIONAL,ASIL-D,MUST,SWC_ElectricPowerSteering,Detailed AUTOSAR architecture context for SWC ownership runnables timing ports modes and fail-safe limits
REQ-EPS-002,Control Torque Runnable,RE_ControlTorque shall execute cyclically every 5 ms to compute torque assist demand and write motor current output,TIMING,ASIL-D,MUST,SWC_ElectricPowerSteering,5ms = 200 Hz control loop
REQ-EPS-003,Safety Monitor Runnable,RE_MonitorSafety shall execute cyclically every 10 ms to perform plausibility checks and update diagnostics,TIMING,ASIL-D,MUST,SWC_ElectricPowerSteering,10ms safety monitor runs at half rate of control loop
REQ-EPS-004,Initialization Runnable,RE_Initialize shall execute once on ECU startup to validate sensor signals set internal state to INIT and perform RAM and ROM self-test,FUNCTIONAL,ASIL-D,MUST,SWC_ElectricPowerSteering,Called by OS on AUTOSAR startup hook
REQ-EPS-005,Mode Change Runnable,RE_HandleModeChange shall execute on DataReceivedEvent of IgnitionStatus_CAN to perform mode transitions between INIT ACTIVE STANDBY FAIL_SAFE and SHUTDOWN,FUNCTIONAL,ASIL-D,MUST,SWC_ElectricPowerSteering,Event-triggered on CAN signal change
REQ-EPS-006,Diagnostic Update Runnable,RE_DiagnosticUpdate shall execute on DataReceivedEvent of DEM notification to write active DTCs to NVM via NvM_WriteBlock,FUNCTIONAL,ASIL-D,MUST,SWC_ElectricPowerSteering,Event-triggered by DEM callback
REQ-EPS-007,Required Ports,SWC shall declare: RP_VehicleSpeed (Sender-Receiver IF_SR_VehicleSpeed) RP_IgnitionStatus (SR IF_SR_IgnitionStatus) RP_YawRate (SR IF_SR_YawRate) RP_TorqueSensorPrimary (SR IF_SR_TorqueSensor) RP_TorqueSensorSecondary (SR IF_SR_TorqueSensor) RP_MotorTemperature (SR IF_SR_Temperature),INTERFACE,ASIL-D,MUST,SWC_ElectricPowerSteering,All required ports follow AUTOSAR R-Port naming RP_
REQ-EPS-008,Provided Ports,SWC shall declare: PP_MotorCurrentDemand (Sender-Receiver IF_SR_MotorCurrent) PP_EPSStatus (SR IF_SR_EPSStatus) PP_AssistLevel (SR IF_SR_AssistLevel),INTERFACE,ASIL-D,MUST,SWC_ElectricPowerSteering,All provided ports follow AUTOSAR P-Port naming PP_
REQ-EPS-010,Basic Torque Assist,The system shall compute a torque assist force proportional to the measured driver steering torque from TorqueSensorPrimary. Assist = driver_torque * base_gain,FUNCTIONAL,ASIL-D,MUST,SWC_ElectricPowerSteering,Base gain is calibration parameter stored in ROM
REQ-EPS-011,Speed-Dependent Gain Reduction,Torque assist gain shall decrease linearly from base_gain at 0 km/h to 30% of base_gain at 40 km/h and continue decreasing to 10% of base_gain at 120 km/h,FUNCTIONAL,ASIL-D,MUST,SWC_ElectricPowerSteering,Prevents oversteer at highway speeds
