Req_ID,Title,Description,Type,ASIL,Priority,Module_Hint,Status,Notes
SPD-PORT-001,Port: SpdFbk,Actual motor mechanical speed from speed observer,interface,ASIL-B,must,,approved,Port ShortName=SpdFbk; Direction=R-Port; Interface ShortName=SpdN1; Interface Type=SenderReceiverInterface; Data Element=Val; Impl. Type=uint16; Phys. Unit=rpm; Resolution=1 rpm/LSB; Min Value=0; Max Value=15000; CompuMethod=SpdNIdentcl; Comm. Mode=Explicit; Connected To=SpeedObserver SWC (P-Port SpdOut)
SPD-PORT-002,Port: SpdRef,Speed reference command from application manager,interface,ASIL-B,must,,approved,Port ShortName=SpdRef; Direction=R-Port; Interface ShortName=SpdN1; Interface Type=SenderReceiverInterface; Data Element=Val; Impl. Type=uint16; Phys. Unit=rpm; Resolution=1 rpm/LSB; Min Value=0; Max Value=12000; CompuMethod=SpdNIdentcl; Comm. Mode=Explicit; Connected To=AppMgr SWC (P-Port SpdCmdOut)
SPD-PORT-003,Port: IqMaxIn,Maximum Iq allowed — set by MtrMon based on protection state,interface,ASIL-B,must,,approved,Port ShortName=IqMaxIn; Direction=R-Port; Interface ShortName=MtrIqMax1; Interface Type=SenderReceiverInterface; Data Element=Val; Impl. Type=float32; Phys. Unit=A; Resolution=0.001 A; Min Value=0.0; Max Value=160.0; CompuMethod=ALnrl; Comm. Mode=Explicit; Connected To=MtrMon (P-Port IqMaxOut)
SPD-PORT-004,Port: OpMod,System operation mode — triggers integrator reset on mode change,interface,ASIL-B,must,,approved,Port ShortName=OpMod; Direction=R-Port; Interface ShortName=OpMod1; Interface Type=ModeSwitchInterface; Data Element=OpModVal; Impl. Type=uint8; Phys. Unit=—; Resolution=—; Min Value=0; Max Value=4; CompuMethod=OpMod1 (TEXTTABLE: 0=Init 1=Idle 2=Run 3=Fault 4=CalMode); Comm. Mode=Mode; Connected To=SysMgr SWC (Mode Manager)
SPD-PORT-005,Port: IqRef,q-axis current reference to current controller — output of speed PI,interface,ASIL-B,must,,approved,Port ShortName=IqRef; Direction=P-Port; Interface ShortName=MtrIq1; Interface Type=SenderReceiverInterface; Data Element=Val; Impl. Type=float32; Phys. Unit=A; Resolution=0.001 A; Min Value=-160.0; Max Value=160.0; CompuMethod=ALnrl; Comm. Mode=Explicit; Connected To=CurrCtrl (R-Port IqRef)
SPD-RUN-001,Runnable: SpdCtrl_Init,"Initialize speed PI integrator to zero, ramp state, set IqRef=0.0, read init CalPrm",interface,ASIL-B,must,,approved,"Must complete before first TimingEvent fires; Runnable ShortName=SpdCtrl_Init; RTE Event=InitEvent; Cycle / Condition=Once at ECU startup; Ports Read=SpdRef, SpdFbk; Ports Written=IqRef; CalPrm Used=SpdCtrlPrm (all); IRV Read=—; IRV Written=SpdCtrlIntgState; ExclusiveArea=—; Init Required=Yes; Return Type=void; Timing Budget=<100 µs"
SPD-RUN-002,Runnable: SpdCtrl_1ms,"1. Ramp SpdRef by SpdRampRate (rate limiter)2. Compute spdErr = spdRefRamped - SpdFbk3. Apply deadzone SpdErrDz4. PI: pTerm=Kp*spdErr; iState+=Ki*spdErr*0.001s5. Anti-windup: clamp iState to ±AntiWindupLim6. IqRef = clamp(pTerm+iState, ±IqMaxIn)",interface,ASIL-B,must,,approved,"ExclusiveArea protects iState if future OS task split needed; Runnable ShortName=SpdCtrl_1ms; RTE Event=TimingEvent; Cycle / Condition=1 ms (1000 Hz); Ports Read=SpdFbk, SpdRef, IqMaxIn; Ports Written=IqRef; CalPrm Used=Kp, Ki, AntiWindupLim, SpdErrDz, SpdRampRate; IRV Read=—; IRV Written=—; ExclusiveArea=EA_SpdIntg; Init Required=No; Return Type=void; Timing Budget=<50 µs"
SPD-RUN-003,Runnable: SpdCtrl_OnModSwitch,Reset PI integrator to 0 on transition to Init/Idle/Fault mode.Set IqRef = 0.0. Prevents integrator windup on re-enable.,interface,ASIL-B,must,,approved,Triggered by mode manager; Runnable ShortName=SpdCtrl_OnModSwitch; RTE Event=ModeSwitchEvent on OpMod; Cycle / Condition=On mode transition; Ports Read=OpMod; Ports Written=IqRef; CalPrm Used=—; IRV Read=—; IRV Written=SpdCtrlIntgState; ExclusiveArea=EA_SpdIntg; Init Required=No; Return Type=void; Timing Budget=<20 µs
SPD-CAL-001,CalPrm: Kp,Speed controller proportional gain,timing,ASIL-B,must,SpdCtrl_1ms,approved,Tune with step response; CalPrm ShortName=Kp; Long Name=Speed controller proportional gain; Impl. Type=float32; Unit=A/rpm; Default Value=0.5; Min Value=0.001; Max Value=10.0; Resolution=0.001; A2L Access=Yes; Online Calibratable=Yes; CompuMethod=ALnrl; Used In Runnable=SpdCtrl_1ms; Physical Description=P-gain of speed PI loop; Impact if Wrong=Low: sluggish response. High: oscillation / instability
SPD-CAL-002,CalPrm: Ki,Speed controller integral gain,timing,ASIL-B,must,SpdCtrl_1ms,approved,CalPrm ShortName=Ki; Long Name=Speed controller integral gain; Impl. Type=float32; Unit=A/(rpm·s); Default Value=0.1; Min Value=0.001; Max Value=5.0; Resolution=0.001; A2L Access=Yes; Online Calibratable=Yes; CompuMethod=ALnrl; Used In Runnable=SpdCtrl_1ms; Physical Description=I-gain of speed PI loop; applied per 1ms sample; Impact if Wrong=Low: steady-state error. High: integrator windup / oscillation
SPD-CAL-003,CalPrm: AntiWindupLim,Integrator anti-windup saturation limit,timing,ASIL-B,must,SpdCtrl_1ms,approved,Must be ≤ IqMax hardware limit; CalPrm ShortName=AntiWindupLim; Long Name=Integrator anti-windup saturation limit; Impl. Type=float32; Unit=A; Default Value=80.0; Min Value=1.0; Max Value=160.0; Resolution=0.1; A2L Access=Yes; Online Calibratable=Yes; CompuMethod=ALnrl; Used In Runnable=SpdCtrl_1ms; Physical Description=Maximum absolute value of integrator state; Impact if Wrong=Too low: limits performance. Too high: windup risk during saturation
SPD-CAL-004,CalPrm: SpdErrDz,Speed error deadzone,timing,ASIL-B,must,SpdCtrl_1ms,approved,Set to 0 for precision apps; CalPrm ShortName=SpdErrDz; Long Name=Speed error deadzone; Impl. Type=uint16; Unit=rpm; Default Value=5; Min Value=0; Max Value=50; Resolution=1; A2L Access=Yes; Online Calibratable=Yes; CompuMethod=SpdNIdentcl; Used In Runnable=SpdCtrl_1ms; Physical Description=Speed error below this is treated as zero (reduces jitter at steady-state); Impact if Wrong=Too high: large steady-state speed error
SPD-CAL-005,CalPrm: SpdRampRate,Speed reference ramp rate,timing,ASIL-B,must,SpdCtrl_1ms,approved,Applies to both accel and decel; CalPrm ShortName=SpdRampRate; Long Name=Speed reference ramp rate; Impl. Type=float32; Unit=rpm/s; Default Value=1000.0; Min Value=10.0; Max Value=10000.0; Resolution=1.0; A2L Access=Yes; Online Calibratable=Yes; CompuMethod=ALnrl; Used In Runnable=SpdCtrl_1ms; Physical Description=Maximum rate of change of speed reference (rate limiter); Impact if Wrong=Too low: slow accel. Too high: mechanical stress / current spikes
SPD-IRV-001,SpdCtrlIntgState,PI integrator state (accumulated integral term in A),functional,ASIL-B,must,,approved,"ExclusiveArea required if runnables placed in different OS tasks; Kind=IRV; Written By=SpdCtrl_1ms, SpdCtrl_OnModSwitch, SpdCtrl_Init; Read By=SpdCtrl_1ms; Protected By EA=EA_SpdIntg; Data Description=PI integrator state (accumulated integral term in A); Init Value=0.0f; Size (bytes)=4; Persistence=None (re-init on startup)"
SPD-IRV-002,SpdRefRamped,Rate-limited speed reference after ramp processing (rpm),functional,ASIL-B,must,,approved,Internal to _1ms only; Kind=IRV; Written By=SpdCtrl_1ms; Read By=SpdCtrl_1ms; Protected By EA=—; Data Description=Rate-limited speed reference after ramp processing (rpm); Init Value=0.0f; Size (bytes)=4
SPD-EA-001,EA_SpdIntg,Protects SpdCtrlIntgState and SpdRefRamped against concurrent access,functional,ASIL-B,must,,approved,Enter/Exit around IRV read-modify-write only; Kind=ExclusiveArea; Written By=—; Read By=—; Protected By EA=—; Data Description=Protects SpdCtrlIntgState and SpdRefRamped against concurrent access; Init Value=—; Size (bytes)=—; Persistence=—
